"";"ANO";"NIVEL";"CODMUNRES";"POPRE_T";"POPRC_T";"POPRC_M";"POPRC_F";"POPRC_15";"POPRC_15_49";"POPRC_50";"POPRC_F_15";"POPRC_F_15_49";"POPRC_F_50"
"171";2015;"MUNICIPIO";"4308300";10888;10719;5461;5258;2641;5386;2692;1308;2621;1329
"172";2015;"MUNICIPIO";"4308409";7096;7014;3570;3444;1317;3306;2391;617;1628;1199
"173";2015;"MUNICIPIO";"4308433";2528;2479;1265;1214;339;1122;1018;174;531;NA
"174";2015;"MUNICIPIO";"4308458";4619;4575;2241;2334;923;2460;1192;464;1248;622
"175";2015;"MUNICIPIO";"4308508";30558;28843;14128;14715;5790;15845;7208;2829;8044;3842
"176";2015;"MUNICIPIO";"4308607";33131;30689;15221;15468;5134;17403;8152;2498;8594;4376
"177";2015;"MUNICIPIO";"4308656";3219;3234;1682;1552;698;1647;889;327;821;404
"178";2015;"MUNICIPIO";"4308706";5918;5862;2832;3030;999;2914;1949;523;1483;NA
"179";2015;"MUNICIPIO";"4308805";8673;8447;4233;4214;1806;3989;2652;885;1987;1342
"180";2015;"MUNICIPIO";"4308854";1711;1677;889;788;306;860;511;125;407;NA
"181";2015;"MUNICIPIO";"4308904";16647;16154;7849;8305;2920;8552;4682;1393;4373;2539
"182";2015;"MUNICIPIO";"4309001";17198;17075;8338;8737;3469;8459;5147;1661;4335;2741
"183";2015;"MUNICIPIO";"4309050";7518;6891;3536;3355;1418;3491;1982;674;1711;NA
"184";2015;"MUNICIPIO";"4309100";34605;32273;15673;16600;6608;18144;7521;3297;9184;NA
"185";2015;"MUNICIPIO";"4309126";2270;2269;1151;1118;534;1076;659;258;533;NA
"186";2015;"MUNICIPIO";"4309159";4212;3970;2044;1926;1083;2108;779;534;1006;NA
"187";2015;"MUNICIPIO";"4309209";272257;255660;124880;130780;58843;139512;57305;28924;70654;31202
"188";2015;"MUNICIPIO";"4309258";1612;1598;806;792;236;734;628;119;367;NA
"189";2015;"MUNICIPIO";"4309308";99029;95204;46153;49051;21418;51568;22218;10366;26457;12228
"190";2015;"MUNICIPIO";"4309407";24509;22814;11124;11690;4240;12675;5899;2052;6417;3221
"191";2015;"MUNICIPIO";"4309506";8150;8115;3951;4164;1505;3991;2619;759;1973;1432
"192";2015;"MUNICIPIO";"4309555";4595;4254;2151;2103;802;2320;1132;388;1137;NA
"193";2015;"MUNICIPIO";"4309571";3063;2954;1543;1411;712;1568;674;346;736;NA
"194";2015;"MUNICIPIO";"4309605";19232;18348;8946;9402;3406;9894;5048;1679;4985;2738
"195";2015;"MUNICIPIO";"4309654";6478;6043;3124;2919;1615;3092;1336;817;1490;NA
"196";2015;"MUNICIPIO";"4309704";5008;4919;2387;2532;862;2421;1636;421;1231;NA
"197";2015;"MUNICIPIO";"4309753";4518;4371;2230;2141;997;2270;1104;498;1075;NA
"198";2015;"MUNICIPIO";"4309803";4848;4710;2290;2420;785;2323;1602;420;1152;NA
"199";2015;"MUNICIPIO";"4309902";7441;7171;3588;3583;1488;3661;2022;713;1800;1070
"200";2015;"MUNICIPIO";"4309951";4162;4061;2063;1998;898;1982;1181;444;980;574
"201";2015;"MUNICIPIO";"4310009";20242;19310;9472;9838;3534;10259;5517;1721;5137;NA
"202";2015;"MUNICIPIO";"4310108";34341;31660;15461;16199;7042;18427;6191;3564;9322;NA
"203";2015;"MUNICIPIO";"4310207";82833;78915;38112;40803;15527;42333;21055;7594;21589;11620
"204";2015;"MUNICIPIO";"4310306";4208;4102;2055;2047;757;2051;1294;349;1037;661
"205";2015;"MUNICIPIO";"4310330";19993;17670;8663;9007;3926;8484;5260;1867;4373;NA
"206";2015;"MUNICIPIO";"4310363";3146;3023;1495;1528;443;1411;1169;220;669;NA
"207";2015;"MUNICIPIO";"4310405";6653;6618;3293;3325;1332;3122;2164;632;1542;NA
"208";2015;"MUNICIPIO";"4310413";2318;2267;1148;1119;504;1125;638;236;560;323
"209";2015;"MUNICIPIO";"4310439";6412;6016;3083;2933;1095;2970;1951;536;1399;NA
"210";2015;"MUNICIPIO";"4310462";1982;1944;972;972;286;992;666;136;491;345
"211";2015;"MUNICIPIO";"4310504";8020;8078;4075;4003;1714;3927;2437;834;1915;1254
"212";2015;"MUNICIPIO";"4310538";5329;5010;2543;2467;1079;2580;1351;517;1280;670
"213";2015;"MUNICIPIO";"4310553";3551;3441;1778;1663;784;1642;1015;399;795;NA
"214";2015;"MUNICIPIO";"4310579";2325;2344;1233;1111;525;1195;624;248;567;NA
"215";2015;"MUNICIPIO";"4310603";39088;38159;19034;19125;9554;20184;8421;4717;10032;4376
"216";2015;"MUNICIPIO";"4310652";2602;2584;1340;1244;533;1249;802;260;593;NA
"217";2015;"MUNICIPIO";"4310702";3995;4171;2178;1993;836;1965;1370;386;940;NA
"218";2015;"MUNICIPIO";"4310751";2133;2156;1097;1059;359;1010;787;177;473;NA
"219";2015;"MUNICIPIO";"4310801";22012;19874;9801;10073;3779;11826;4269;1862;5915;NA
"220";2015;"MUNICIPIO";"4310850";4117;4098;2081;2017;949;1945;1204;439;986;NA
"221";2015;"MUNICIPIO";"4310876";2645;2507;1283;1224;554;1271;682;275;620;NA
"222";2015;"MUNICIPIO";"4310900";3713;3633;1781;1852;599;1841;1193;302;932;NA
"223";2015;"MUNICIPIO";"4311007";28310;27931;13588;14343;5832;13980;8119;2873;7018;4452
"224";2015;"MUNICIPIO";"4311106";11590;11473;5738;5735;1876;5730;3867;921;2802;2012
"225";2015;"MUNICIPIO";"4311122";4138;4177;2142;2035;1100;1922;1155;530;966;NA
"226";2015;"MUNICIPIO";"4311130";3655;3575;1884;1691;713;1842;1020;359;854;NA
"227";2015;"MUNICIPIO";"4311155";8656;8331;4306;4025;1910;4221;2200;891;2042;NA
"228";2015;"MUNICIPIO";"4311205";20052;19579;9626;9953;4470;9895;5214;2142;5013;2798
"229";2015;"MUNICIPIO";"4311239";2825;2662;1403;1259;617;1400;645;307;639;NA
"230";2015;"MUNICIPIO";"4311254";6492;6185;3195;2990;1580;3152;1453;766;1497;727
"231";2015;"MUNICIPIO";"4311270";1649;1598;776;822;244;777;577;120;387;NA
"232";2015;"MUNICIPIO";"4311304";28431;27525;13564;13961;5951;14105;7469;2865;7054;4042
"233";2015;"MUNICIPIO";"4311403";78486;71445;34731;36714;13600;41709;16136;6605;21168;8941
"234";2015;"MUNICIPIO";"4311429";2588;2487;1253;1234;654;1198;635;343;583;NA
"235";2015;"MUNICIPIO";"4311502";7833;7679;3775;3904;1700;3793;2186;832;1929;1143
"236";2015;"MUNICIPIO";"4311601";5752;5780;2949;2831;1184;2870;1726;584;1364;NA
"237";2015;"MUNICIPIO";"4311627";5671;5227;2679;2548;1211;3115;901;580;1495;NA
"238";2015;"MUNICIPIO";"4311643";1703;1624;808;816;261;795;568;144;382;NA
"239";2015;"MUNICIPIO";"4311700";5649;5510;2757;2753;1189;2641;1680;571;1319;NA
"240";2015;"MUNICIPIO";"4311718";4824;4738;2418;2320;1210;2481;1047;617;1227;476
"241";2015;"MUNICIPIO";"4311734";3083;3003;1551;1452;674;1562;767;345;734;373
"242";2015;"MUNICIPIO";"4311759";7359;7072;3556;3516;1578;3540;1954;774;1789;953
"243";2015;"MUNICIPIO";"4311775";7040;6905;3523;3382;1511;3361;2033;755;1644;NA
"244";2015;"MUNICIPIO";"4311791";2659;2527;1272;1255;437;1253;837;231;579;NA
"245";2015;"MUNICIPIO";"4311809";40174;36364;18030;18334;7293;21195;7876;3564;10549;4221
"246";2015;"MUNICIPIO";"4311908";5027;5134;2555;2579;957;2459;1718;461;1204;NA
"247";2015;"MUNICIPIO";"4311981";3920;3768;1970;1798;701;1798;1269;337;866;NA
"248";2015;"MUNICIPIO";"4312005";2211;2210;1133;1077;394;1102;714;185;527;NA
"249";2015;"MUNICIPIO";"4312054";4167;4068;2039;2029;625;1892;1551;304;901;NA
"250";2015;"MUNICIPIO";"4312104";5159;5111;2575;2536;987;2514;1610;513;1198;NA
"251";2015;"MUNICIPIO";"4312138";2567;2470;1292;1178;508;1251;711;238;602;NA
"252";2015;"MUNICIPIO";"4312153";4201;3865;1937;1928;734;2066;1065;351;1023;NA
"253";2015;"MUNICIPIO";"4312179";1798;1799;902;897;350;798;651;180;385;332
"254";2015;"MUNICIPIO";"4312203";4867;4911;2467;2444;993;2395;1523;473;1167;NA
"255";2015;"MUNICIPIO";"4312252";8011;7631;3778;3853;1856;3941;1834;903;1996;NA
"256";2015;"MUNICIPIO";"4312302";4982;4855;2413;2442;1061;2307;1487;518;1183;NA
"257";2015;"MUNICIPIO";"4312351";1556;1542;794;748;225;744;573;109;339;NA
"258";2015;"MUNICIPIO";"4312377";3236;3102;1661;1441;778;1451;873;370;664;407
"259";2015;"MUNICIPIO";"4312385";2704;2670;1345;1325;340;1278;1052;168;597;560
"260";2015;"MUNICIPIO";"4312401";63216;59415;29245;30170;12549;32590;14276;6182;16228;7760
"261";2015;"MUNICIPIO";"4312427";2948;2749;1396;1353;596;1352;801;290;668;NA
"262";2015;"MUNICIPIO";"4312443";3193;3182;1617;1565;514;1703;965;251;840;NA
"263";2015;"MUNICIPIO";"4312450";6529;6227;3135;3092;1075;2955;2197;518;1462;NA
"264";2015;"MUNICIPIO";"4312476";6100;5676;2849;2827;968;3200;1508;471;1572;NA
"265";2015;"MUNICIPIO";"4312500";12720;12124;6187;5937;2713;6085;3326;1318;2995;NA
"266";2015;"MUNICIPIO";"4312609";4989;4791;2300;2491;789;2285;1717;388;1152;NA
"267";2015;"MUNICIPIO";"4312617";3137;2988;1535;1453;721;1514;753;375;721;NA
"268";2015;"MUNICIPIO";"4312625";1894;1813;923;890;391;929;493;194;455;NA
